algorithm,Decision Tree,KNN,LightGBM,Random Forest,SVM
AES,1.0,1.0,1.0,1.0,1.0
ASCONv2,1.0,1.0,1.0,1.0,1.0
LEA,1.0,0.3333333333333333,1.0,1.0,1.0
MSEA,1.0,0.3333333333333333,0.6666666666666666,1.0,0.3333333333333333
PRESENT,1.0,1.0,1.0,1.0,1.0
PRINCE,1.0,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666
RECTANGLE,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
SIMON,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333
XTEA,1.0,1.0,1.0,1.0,1.0
